what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1487615996520
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1487616002479
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1487616003510
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1487616013955
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1487616021767
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1487616021927
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1487616022388
stopped,bundle,com.zylin.embeddedcdt,4.11.1,"com.zylin.embeddedcdt",1487616022418
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1487616022418
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1487616022418
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.200909110608,"org.eclipse.cdt.dsf.ui",1487616022418
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1487616022418
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1487616022418
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200909110608,"org.eclipse.cdt.managedbuilder.ui",1487616022428
stopped,bundle,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui",1487616022428
